stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_city
3500,PJUSTO,"Palais de Justice",,  49.493603,   0.115195,,,0,PJUSTI,Le Havre
3540,PLACON,"Pl. de Coninck",,  49.509164,   0.127742,,,0,PLCONI,Le Havre
3539,PLACOS,"Pl. de Coninck",,  49.509361,   0.127583,,,0,PLCONI,Le Havre
3797,PLAGES,"La Plage",,  49.493755,   0.097433,,,0,PLAGE,Le Havre
3836,PLAINE,"Plaine",,  49.507107,   0.220258,,,0,PLAINE,Gonfreville l'Orcher
4480,PLAINN,"Plaine",,  49.506740,   0.221769,,,0,PLAINE,Gonfreville l'Orcher
3837,PLAINO,"Plaine",,  49.507139,   0.219845,,,0,PLAINE,Gonfreville l'Orcher
4481,PLAINS,"Plaine",,  49.506291,   0.221598,,,0,PLAINE,Gonfreville l'Orcher
4611,PLAJEN,"La Plage",,  49.493843,   0.097656,,,0,PLAGE,Le Havre
3537,PLARME,"Pl. d'Armes",,  49.504923,   0.199334,,,0,PARMES,Harfleur
3538,PLARMO,"Pl. d'Armes",,  49.504956,   0.199637,,,0,PARMES,Harfleur
3547,PLATAN,"Platanes",,  49.510873,   0.148790,,,0,PLATAN,Le Havre
3548,PLATAS,"Platanes",,  49.510331,   0.148055,,,0,PLATAN,Le Havre
3532,PLIONE,"P. Lion",,  49.508335,   0.110277,,,0,PRLION,Le Havre
3531,PLIONO,"P. Lion",,  49.508380,   0.110317,,,0,PRLION,Le Havre
3983,PLQ1,"La Plage",,  49.493935,   0.095906,,,0,PLAGE,Le Havre
3984,PLQ2,"La Plage",,  49.494147,   0.095732,,,0,PLAGE,Le Havre
3535,PMADAO,"Pissotière à Madame",,  49.496314,   0.253606,,,0,PSMDME,Gonfreville l'Orcher
3467,PMFRAN,"P. Mendès France",,  49.535924,   0.178188,,,0,MDFRCE,Montivilliers
4803,PNERUE,"P. Neruda",,  49.504237,   0.157643,,,0,PNERUD,Le Havre
4802,PNERUO,"P. Neruda",,  49.504303,   0.157664,,,0,PNERUD,Le Havre
3731,POCEAS,"Porte Océane",,  49.492087,   0.098883,,,0,PTOCEA,Le Havre
4943,POLYGN,"Polygone",,  49.491133,   0.145694,,,0,POLYGO,Le Havre
4944,POLYGS,"Polygone",,  49.491061,   0.145566,,,0,POLYGO,Le Havre
